Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,HepB3,78,75,70,67,68,66,63,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,HepB3,98,98,99,99,99,99,98,99,98,98,98,99,97,96,96,96,96,94,97,96,88,99,,,,,,,,,,,,,,
AFR,DZA,Algeria,HepB3,95,95,95,95,95,95,94,91,90,80,83,81,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,HepB3,94,96,94,97,99,96,96,94,91,84,79,77,81,84,84,84,75,80,75,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,HepB3,64,64,77,75,72,77,61,69,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,HepB3,99,99,99,98,99,98,98,98,97,99,99,97,99,99,96,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,HepB3,94,94,94,91,91,94,94,90,85,84,88,81,73,66,,,,,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,HepB3,94,93,95,95,95,94,93,89,85,78,91,91,93,91,69,55,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,HepB3,93,91,91,91,92,92,94,94,94,95,95,95,95,95,94,,,,,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,HepB3,98,98,95,92,89,86,83,83,85,83,86,83,83,81,44,33,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,HepB3,96,94,93,88,84,80,74,68,62,52,49,50,51,50,,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),HepB3,95,96,97,96,95,98,95,90,93,96,93,93,88,89,21,,,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,HepB3,98,98,99,99,99,99,98,97,97,98,98,98,98,98,99,97,97,95,95,96,95,93,90,57,,,,,,,,,,,,
SEAR,BGD,Bangladesh,HepB3,94,94,94,94,96,94,97,96,95,86,45,11,5,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,HepB3,97,94,91,87,91,86,93,85,93,84,92,93,91,66,18,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,HepB3,99,97,98,97,98,96,98,98,91,98,99,99,56,99,93,70,,,,,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,HepB3,98,98,98,98,97,97,97,98,94,94,77,64,64,60,60,60,46,31,2,,,,,,,,,,,,,,,,,
AMR,BLZ,Belize,HepB3,94,95,95,98,95,96,97,94,96,98,96,97,96,97,96,76,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,HepB3,79,75,74,81,75,76,79,75,82,74,70,75,73,15,,,,,,,,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,HepB3,99,99,97,97,95,91,93,96,95,95,95,89,95,83,89,98,90,81,84,16,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),HepB3,99,98,94,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,HepB3,82,89,91,92,88,89,90,88,94,90,93,36,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,HepB3,95,95,95,95,95,95,94,94,93,93,92,91,90,88,87,86,85,77,60,62,73,,,,,,,,,,,,,,,
AMR,BRA,Brazil,HepB3,96,96,96,96,98,96,99,96,99,99,98,96,97,92,91,94,84,13,6,15,10,4,,,,,,,,,,,,,,
WPR,BRN,Brunei Darussalam,HepB3,99,99,98,99,93,96,96,96,97,99,99,99,99,99,99,99,93,99,98,98,99,99,99,96,96,96,,,,,,,,,,
EUR,BGR,Bulgaria,HepB3,92,95,95,95,96,95,96,96,95,96,96,94,96,88,93,94,97,97,77,94,95,94,96,71,,,,,,,,,,,,
AFR,BFA,Burkina Faso,HepB3,91,91,88,90,91,91,92,93,89,76,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,HepB3,94,95,96,96,96,96,94,92,99,92,87,83,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,HepB3,93,95,93,94,90,98,98,98,96,95,93,91,66,40,,,,,,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,HepB3,89,88,83,86,88,89,92,91,82,80,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,HepB3,84,87,89,85,82,84,80,84,82,81,79,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CAN,Canada,HepB3,55,55,55,70,70,56,42,28,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),HepB3,47,47,23,47,47,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,HepB3,55,46,48,45,33,39,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,HepB3,97,95,90,90,94,92,94,95,92,95,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,CHN,China,HepB3,99,99,99,99,99,99,99,95,92,91,84,79,75,70,65,60,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,HepB3,91,90,91,92,85,88,92,92,93,93,93,89,92,78,80,78,77,75,85,95,71,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),HepB3,80,80,83,86,83,74,83,81,75,69,68,77,28,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),HepB3,80,90,85,79,80,74,75,73,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,HepB3,99,99,98,98,93,99,82,99,99,99,99,99,93,93,93,98,90,88,99,65,85,79,76,98,85,71,,,,,,,,,,
AMR,CRI,Costa Rica,HepB3,92,91,94,91,84,89,87,89,89,88,90,89,86,94,80,89,83,86,76,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,HepB3,83,76,80,82,62,85,81,74,76,77,76,67,63,48,10,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,HepB3,94,95,96,98,97,97,97,97,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,HepB3,96,96,96,96,96,96,96,95,93,89,95,99,99,98,98,98,99,98,98,99,99,98,84,,,,,,,,,,,,,
EUR,CYP,Cyprus,HepB3,97,96,96,96,96,96,96,93,93,93,88,88,88,88,89,89,89,88,88,88,68,54,41,27,20,,,,,,,,,,,
