Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,Hib3,78,75,70,67,68,66,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,Hib3,98,98,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,DZA,Algeria,Hib3,95,95,95,95,95,95,95,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,Hib3,97,97,96,98,99,98,97,98,95,93,97,95,91,92,92,90,80,55,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,Hib3,64,64,77,75,72,77,61,69,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,Hib3,99,99,99,98,99,98,94,97,99,99,99,97,97,97,97,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,Hib3,94,94,94,91,91,94,94,93,91,91,98,98,96,93,83,83,86,49,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,Hib3,94,93,95,95,95,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,Hib3,93,91,91,92,92,92,94,94,94,95,94,95,95,95,95,90,87,82,77,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,Hib3,98,98,95,92,89,86,83,83,85,83,86,83,84,82,74,72,74,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,Hib3,96,94,93,89,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),Hib3,95,96,97,98,98,98,96,94,95,95,93,93,93,94,99,90,78,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,Hib3,98,98,99,99,99,99,97,97,97,98,98,98,97,98,99,97,96,39,,,,,,,,,,,,,,,,,,
SEAR,BGD,Bangladesh,Hib3,94,94,94,94,87,94,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,Hib3,97,94,91,87,91,86,93,85,93,84,92,93,88,66,18,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,Hib3,20,20,23,22,21,,19,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,Hib3,98,98,98,98,98,98,98,98,98,98,95,87,87,86,86,86,59,33,6,10,13,16,20,,,,,,,,,,,,,
AMR,BLZ,Belize,Hib3,94,95,95,98,95,96,97,94,96,98,96,97,96,89,96,,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,Hib3,79,75,74,81,75,76,79,75,82,74,35,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,Hib3,99,99,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),Hib3,99,98,94,93,95,91,93,88,84,83,85,84,80,77,77,77,,,,,,,,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,Hib3,78,79,83,87,85,83,80,83,83,82,50,49,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,Hib3,95,95,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRA,Brazil,Hib3,96,95,98,95,99,99,99,99,98,97,96,95,94,93,93,90,,,,,,,,,,,,,,,,,,,,
WPR,BRN,Brunei Darussalam,Hib3,99,96,99,90,97,95,99,98,99,97,94,92,92,94,,,,,,,,,,,,,,,,,,,,,,
EUR,BGR,Bulgaria,Hib3,87,83,95,95,95,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BFA,Burkina Faso,Hib3,91,91,88,90,91,91,92,93,89,76,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BDI,Burundi,Hib3,94,95,96,96,96,96,94,92,99,92,87,83,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,Hib3,93,95,93,94,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KHM,Cambodia,Hib3,89,88,83,86,85,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,Hib3,84,87,89,85,82,84,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CAN,Canada,Hib3,91,91,91,95,87,89,90,92,93,95,93,91,88,88,88,88,88,88,87,84,,,,,,,,,,,,,,,,
AFR,CAF,Central African Republic (the),Hib3,47,47,23,47,47,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,Hib3,55,46,48,45,33,39,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,Hib3,97,95,90,90,94,92,94,95,96,94,91,93,96,97,97,91,95,90,90,91,,,,,,,,,,,,,,,,
WPR,CHN,China,Hib3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,Hib3,91,90,91,91,85,88,92,92,93,93,93,89,93,69,55,65,64,62,,,,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),Hib3,80,80,83,86,83,74,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),Hib3,80,90,85,79,80,74,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,COK,Cook Islands,Hib3,99,99,98,98,93,99,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,CRI,Costa Rica,Hib3,92,91,95,90,81,90,87,87,88,88,89,90,87,93,89,92,68,26,,,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,Hib3,83,76,80,82,62,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HRV,Croatia,Hib3,94,95,96,96,96,97,96,96,96,96,96,95,95,79,,,,,,,,,,,,,,,,,,,,,,
