Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,MCV2,39,39,35,33,31,29,24,23,4,18,9,2,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,MCV2,98,98,99,99,99,98,98,98,95,94,97,96,93,93,90,,,,,,,,,,,,,,,,,,,,,
AFR,DZA,Algeria,MCV2,99,99,93,95,96,95,98,96,95,98,94,94,96,93,73,78,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,MCV2,88,90,91,89,82,86,82,86,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,MCV2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,MCV2,87,87,87,90,89,92,94,83,78,68,46,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,MCV2,87,96,83,89,91,94,96,88,84,91,88,93,80,83,56,56,,,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,MCV2,97,97,97,97,98,97,96,94,93,85,92,94,93,95,96,94,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,MCV2,93,93,92,91,90,88,82,80,89,87,85,85,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,MCV2,87,87,82,78,73,69,64,62,56,61,54,47,46,39,34,35,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,MCV2,98,98,98,95,92,89,83,79,75,68,67,67,66,67,65,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),MCV2,76,72,69,73,79,78,76,80,84,88,88,95,,,,,,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,MCV2,99,99,99,99,98,98,99,97,99,99,99,99,99,97,99,92,,,,,,,,,,,,,,,,,,,,
SEAR,BGD,Bangladesh,MCV2,83,83,70,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,MCV2,89,91,89,90,94,96,97,97,96,94,98,99,71,41,12,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,MCV2,99,98,99,97,99,99,99,99,99,95,98,98,98,98,97,92,,,,,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,MCV2,85,85,85,85,83,83,83,81,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BLZ,Belize,MCV2,95,92,92,93,98,91,92,90,89,92,87,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,MCV2,94,92,89,90,95,85,79,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,MCV2,88,92,93,94,88,91,88,92,95,93,90,88,85,90,86,74,,,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,MCV2,85,85,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRA,Brazil,MCV2,80,89,69,70,71,53,55,56,49,55,61,68,74,80,95,95,,,,,,,,,,,,,,,,,,,,
WPR,BRN,Brunei Darussalam,MCV2,97,96,92,96,93,93,99,89,92,94,97,97,96,96,95,95,,,,,,,,,,,,,,,,,,,,
EUR,BGR,Bulgaria,MCV2,87,89,94,94,94,96,93,94,94,93,92,91,89,79,85,83,,,,,,,,,,,,,,,,,,,,
