WHO_REGION,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,HepB3,81,98,95,90,87,82,66,63,64,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ALB,Albania,HepB3,99,99,99,99,99,99,99,98,99,98,98,98,99,97,96,96,96,96,94,97,96,88,99,,,,,,,,,,,,,,
AFR,DZA,Algeria,HepB3,95,95,95,95,95,95,95,94,91,90,80,83,81,,,,,,,,,,,,,,,,,,,,,,,,
EUR,AND,Andorra,HepB3,94,94,96,94,97,99,96,96,,91,84,79,77,,84,84,84,75,80,75,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,HepB3,80,80,80,93,91,86,91,73,81,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,ATG,Antigua and Barbuda,HepB3,,99,99,98,98,99,98,98,99,97,99,99,97,99,99,96,,,,,,,,,,,,,,,,,,,,,
AMR,ARG,Argentina,HepB3,92,94,94,94,91,91,94,94,90,85,84,88,73,90,66,,,,,,,,,,,,,,,,,,,,,,
EUR,ARM,Armenia,HepB3,94,94,93,95,95,95,94,93,89,85,78,91,91,93,91,69,55,,,,,,,,,,,,,,,,,,,,
WPR,AUS,Australia,HepB3,94,93,91,91,92,92,92,92,94,94,95,95,95,95,94,94,,,,,,,,,,,,,,,,,,,,,
EUR,AUT,Austria,HepB3,87,,98,,,,,83,83,85,83,86,83,83,81,44,33,,,,,,,,,,,,,,,,,,,,
EUR,AZE,Azerbaijan,HepB3,97,96,94,93,93,96,97,97,97,97,93,96,97,98,97,,,,,,,,,,,,,,,,,,,,,,
AMR,BHS,Bahamas (the),HepB3,94,95,96,97,96,95,98,95,90,93,96,93,93,88,89,21,,,,,,,,,,,,,,,,,,,,,
EMR,BHR,Bahrain,HepB3,99,98,98,99,99,99,99,98,97,97,98,98,98,98,98,99,97,97,95,95,96,95,93,90,57,,,,,,,,,,,,
SEAR,BGD,Bangladesh,HepB3,94,93,93,92,90,90,89,87,87,87,84,84,59,5,,,,,,,,,,,,,,,,,,,,,,,
AMR,BRB,Barbados,HepB3,97,97,94,91,87,91,86,93,85,93,84,92,93,91,66,17,,,,,,,,,,,,,,,,,,,,,
EUR,BLR,Belarus,HepB3,96,99,97,98,97,98,96,98,98,91,98,99,99,91,99,93,70,,,,,,,,,,,,,,,,,,,,
EUR,BEL,Belgium,HepB3,97,98,98,98,98,97,97,97,98,94,94,77,64,64,60,60,60,,31,2,,,,,,,,,,,,,,,,,
AMR,BLZ,Belize,HepB3,95,94,95,95,98,95,96,97,94,96,98,96,97,96,97,96,76,,,,,,,,,,,,,,,,,,,,
AFR,BEN,Benin,HepB3,63,91,90,93,85,99,98,98,93,97,93,92,89,81,15,,,,,,,,,,,,,,,,,,,,,,
SEAR,BTN,Bhutan,HepB3,98,99,99,97,97,95,95,96,96,95,95,95,89,95,83,89,98,52,81,84,16,,,,,,,,,,,,,,,,
AMR,BOL,Bolivia (Plurinational State of),HepB3,,89,85,81,80,82,80,85,83,82,83,85,84,99,,83,89,,,,,,,,,,,,,,,,,,,,
EUR,BIH,Bosnia and Herzegovina,HepB3,78,82,89,,92,88,90,90,88,94,82,93,81,,65,,85,80,,,,,,,,,,,,,,,,,,,
AFR,BWA,Botswana,HepB3,85,80,94,,99,99,82,86,85,88,99,99,79,78,46,64,73,70,69,60,62,73,,,,,,,,,,,,,,,
