WHO_REGION,ISO_code,Cname,Vaccine,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,AFG,Afghanistan,MCV1,75,90,88,82,81,75,62,60,59,55,53,50,48,39,35,37,27,31,31,38,42,,40,25,,19,20,22,34,31,14,14,13,,8,6,11
EUR,ALB,Albania,MCV1,96,97,98,99,98,99,99,97,98,97,95,97,96,93,96,95,95,85,89,95,92,91,90,76,87,80,,96,96,96,96,96,96,96,,90,
AFR,DZA,Algeria,MCV1,95,95,95,95,95,95,95,92,88,92,91,83,81,84,81,83,80,83,75,74,75,77,69,69,68,74,53,73,,59,,,,,,17,
EUR,AND,Andorra,MCV1,97,96,96,95,98,99,99,98,98,94,91,94,98,96,98,97,97,97,90,90,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,MCV1,74,80,85,91,97,88,93,77,79,88,48,45,64,62,72,72,,46,80,78,41,65,44,47,21,39,38,43,56,55,60,83,,26,,,
AMR,ATG,Antigua and Barbuda,MCV1,,99,99,99,98,99,98,99,99,99,99,99,97,99,99,97,95,99,99,93,99,93,91,99,99,87,89,95,95,89,80,69,73,48,,,
AMR,ARG,Argentina,MCV1,90,89,95,94,94,95,99,99,96,94,97,99,99,97,95,89,91,97,99,93,99,99,96,95,92,99,93,89,87,80,87,54,79,67,67,77,61
EUR,ARM,Armenia,MCV1,97,97,97,97,97,97,97,96,94,92,92,94,92,94,60,96,92,92,94,92,89,96,95,95,93,93,95,,,,,,,,,,
WPR,AUS,Australia,MCV1,,91,93,94,94,94,94,94,94,94,94,94,93,94,93,92,91,88,82,87,87,87,86,86,,,86,85,,68,,68,,68,,,
EUR,AUT,Austria,MCV1,95,,96,,,,,76,83,79,80,75,74,79,78,79,75,65,,90,87,60,60,60,60,60,60,60,60,60,60,40,30,25,25,25,
EUR,AZE,Azerbaijan,MCV1,98,98,98,98,97,98,98,98,97,97,96,98,98,98,97,99,98,99,98,97,96,95,91,80,83,94,82,,,,,,,,,,
AMR,BHS,Bahamas (the),MCV1,89,94,92,92,91,90,94,98,90,96,88,85,89,90,94,94,93,86,92,93,92,90,88,88,94,99,99,87,78,87,85,79,63,66,65,,
EMR,BHR,Bahrain,MCV1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,94,99,94,95,95,93,90,87,88,87,85,78,73,60,54,65,59,37,43,63
